brightness, histo, histo_eq
0, 0, 951
1, 0, 761
2, 0, 1139
3, 0, 709
4, 0, 885
5, 0, 1032
6, 0, 1282
7, 0, 1441
8, 0, 0
9, 0, 1617
10, 0, 0
11, 0, 1686
12, 0, 0
13, 0, 1905
14, 0, 1887
15, 0, 0
16, 0, 2000
17, 0, 0
18, 0, 2000
19, 0, 0
20, 1, 2072
21, 0, 0
22, 0, 2010
23, 2, 0
24, 4, 2025
25, 8, 0
26, 15, 1891
27, 25, 0
28, 55, 1884
29, 86, 0
30, 112, 1762
31, 160, 1714
32, 202, 0
33, 281, 1533
34, 341, 1442
35, 420, 1261
36, 528, 0
37, 611, 1268
38, 709, 1185
39, 885, 1098
40, 1032, 970
41, 1282, 978
42, 1441, 1793
43, 1617, 823
44, 1686, 802
45, 1905, 742
46, 1887, 1645
47, 2000, 816
48, 2000, 785
49, 2072, 878
50, 2010, 1729
51, 2025, 872
52, 1891, 867
53, 1884, 957
54, 1762, 888
55, 1714, 979
56, 1533, 906
57, 1442, 835
58, 1261, 1916
59, 1268, 953
60, 1185, 958
61, 1098, 996
62, 970, 1061
63, 978, 1158
64, 910, 0
65, 883, 1144
66, 823, 1166
67, 802, 1222
68, 742, 1253
69, 803, 0
70, 842, 1446
71, 816, 1466
72, 785, 1594
73, 878, 0
74, 859, 1855
75, 870, 0
76, 872, 1810
77, 867, 0
78, 957, 1934
79, 888, 0
80, 979, 1964
81, 906, 0
82, 835, 1899
83, 976, 0
84, 940, 2002
85, 953, 1872
86, 958, 0
87, 996, 1823
88, 1061, 0
89, 1158, 1689
90, 1144, 1598
91, 1166, 0
92, 1222, 1539
93, 1253, 1398
94, 1446, 0
95, 1466, 1441
96, 1594, 1375
97, 1855, 1334
98, 1810, 0
99, 1934, 1389
100, 1964, 1376
101, 1899, 1380
102, 2002, 0
103, 1872, 1413
104, 1823, 1402
105, 1689, 0
106, 1598, 1455
107, 1539, 1464
108, 1398, 0
109, 1441, 1627
110, 1375, 1626
111, 1334, 0
112, 1389, 1604
113, 1376, 1808
114, 1380, 0
115, 1413, 1827
116, 1402, 0
117, 1455, 2034
118, 1464, 0
119, 1627, 2097
120, 1626, 0
121, 1604, 2213
122, 1808, 0
123, 1827, 0
124, 2034, 2352
125, 2097, 0
126, 2213, 2433
127, 2352, 0
128, 2433, 2368
129, 2368, 0
130, 2467, 0
131, 2304, 2467
132, 2276, 0
133, 2050, 2304
134, 1960, 0
135, 1910, 2276
136, 1889, 0
137, 1925, 2050
138, 2058, 0
139, 2043, 1960
140, 2331, 0
141, 2302, 1910
142, 2340, 0
143, 2391, 1889
144, 2475, 0
145, 2431, 1925
146, 2253, 0
147, 2271, 2058
148, 2233, 0
149, 2193, 2043
150, 2279, 0
151, 2303, 2331
152, 2426, 0
153, 2671, 2302
154, 2647, 0
155, 2719, 2340
156, 2733, 0
157, 2583, 0
158, 2437, 2391
159, 2256, 0
160, 2076, 2475
161, 1911, 0
162, 1744, 0
163, 1644, 2431
164, 1471, 0
165, 1430, 2253
166, 1395, 0
167, 1288, 2271
168, 1230, 0
169, 1193, 2233
170, 1170, 0
171, 1244, 2193
172, 1268, 0
173, 1229, 2279
174, 1237, 0
175, 1263, 0
176, 1242, 2303
177, 1164, 0
178, 1115, 2426
179, 1039, 0
180, 953, 0
181, 819, 2671
182, 748, 0
183, 662, 2647
184, 637, 0
185, 641, 0
186, 597, 2719
187, 663, 0
188, 625, 0
189, 712, 2733
190, 787, 0
191, 777, 2583
192, 809, 0
193, 873, 2437
194, 909, 0
195, 962, 0
196, 956, 2256
197, 836, 0
198, 850, 2076
199, 867, 1911
200, 839, 0
201, 916, 1744
202, 832, 0
203, 900, 1644
204, 921, 1471
205, 952, 0
206, 969, 1430
207, 1012, 1395
208, 1092, 1288
209, 1078, 1230
210, 962, 0
211, 967, 1193
212, 1019, 1170
213, 870, 1244
214, 705, 1268
215, 573, 1229
216, 468, 0
217, 395, 1237
218, 368, 1263
219, 326, 1242
220, 255, 1164
221, 212, 1115
222, 211, 1039
223, 173, 953
224, 121, 819
225, 104, 1410
226, 72, 637
227, 66, 1238
228, 33, 1288
229, 31, 712
230, 24, 787
231, 16, 1586
232, 8, 873
233, 9, 909
234, 3, 962
235, 4, 956
236, 3, 836
237, 0, 1717
238, 0, 839
239, 1, 916
240, 0, 832
241, 1, 900
242, 0, 921
243, 0, 952
244, 1, 969
245, 1, 1012
246, 0, 1092
247, 0, 1078
248, 0, 962
249, 0, 967
250, 0, 1889
251, 0, 705
252, 0, 1041
253, 0, 1344
254, 0, 1093
255, 0, 1
